mode,size_mb,run,time_s
cuda_parallel,1,1,0.120401
cuda_parallel,1,2,0.111040
cuda_parallel,1,3,0.107701
cuda_parallel,1,4,0.105799
cuda_parallel,1,5,0.107226
cuda_parallel,1,6,0.107602
cuda_parallel,1,7,0.107199
cuda_parallel,1,8,0.108560
cuda_parallel,1,9,0.106922
cuda_parallel,1,10,0.105615
cuda_parallel,50,1,0.411628
cuda_parallel,50,2,0.400944
cuda_parallel,50,3,0.399567
cuda_parallel,50,4,0.401076
cuda_parallel,50,5,0.403384
cuda_parallel,50,6,0.400143
cuda_parallel,50,7,0.400495
cuda_parallel,50,8,0.401787
cuda_parallel,50,9,0.406648
cuda_parallel,50,10,0.402731
cuda_parallel,100,1,0.716265
cuda_parallel,100,2,0.712299
cuda_parallel,100,3,0.714371
cuda_parallel,100,4,0.711981
cuda_parallel,100,5,0.715241
cuda_parallel,100,6,0.713797
cuda_parallel,100,7,0.715662
cuda_parallel,100,8,0.714045
cuda_parallel,100,9,0.714795
cuda_parallel,100,10,0.716137
cuda_parallel,200,1,1.336650
cuda_parallel,200,2,1.342030
cuda_parallel,200,3,1.337890
cuda_parallel,200,4,1.336890
cuda_parallel,200,5,1.340150
cuda_parallel,200,6,1.338160
cuda_parallel,200,7,1.337520
cuda_parallel,200,8,1.343010
cuda_parallel,200,9,1.336900
cuda_parallel,200,10,1.346480
