mode,size_mb,run,rank,time_s
mpi,1,1,0,0.117719
mpi,1,1,1,0.117244
mpi,1,2,0,0.120549
mpi,1,2,1,0.119654
mpi,1,3,0,0.118842
mpi,1,3,1,0.116551
mpi,1,4,0,0.121121
mpi,1,4,1,0.120661
mpi,1,5,0,0.119688
mpi,1,5,1,0.118325
mpi,1,6,0,0.120128
mpi,1,6,1,0.118107
mpi,1,7,0,0.127539
mpi,1,7,1,0.124155
mpi,1,8,0,0.118259
mpi,1,8,1,0.116271
mpi,1,9,0,0.120653
mpi,1,9,1,0.120629
mpi,1,10,0,0.119434
mpi,1,10,1,0.118521
mpi,50,1,0,8.32502
mpi,50,1,1,8.20556
mpi,50,2,0,8.17907
mpi,50,2,1,8.1169
mpi,50,3,0,8.00874
mpi,50,3,1,7.94677
mpi,50,4,0,7.9633
mpi,50,4,1,8.05357
mpi,50,5,0,8.02712
mpi,50,5,1,8.00796
mpi,50,6,0,7.94517
mpi,50,6,1,7.99843
mpi,50,7,0,8.01776
mpi,50,7,1,7.93796
mpi,50,8,0,7.99243
mpi,50,8,1,7.9086
mpi,50,9,0,8.03785
mpi,50,9,1,7.98955
mpi,50,10,0,8.0386
mpi,50,10,1,8.01616
mpi,100,1,0,16.4506
mpi,100,1,1,16.4809
mpi,100,2,0,16.1552
mpi,100,2,1,16.5993
mpi,100,3,0,16.6848
mpi,100,3,1,16.6538
mpi,100,4,0,16.7526
mpi,100,4,1,16.7267
mpi,100,5,0,17.0521
mpi,100,5,1,17.1015
mpi,100,6,0,16.9715
mpi,100,6,1,17.0445
mpi,100,7,0,17.0349
mpi,100,7,1,17.0953
mpi,100,8,0,17.0584
mpi,100,8,1,16.9574
mpi,100,9,0,17.0233
mpi,100,9,1,16.9809
mpi,100,10,0,17.061
mpi,100,10,1,17.0618
mpi,200,1,0,35.0009
mpi,200,1,1,34.5439
mpi,200,2,0,34.9691
mpi,200,2,1,34.57
mpi,200,3,0,35.0931
mpi,200,3,1,34.6955
mpi,200,4,0,34.9688
mpi,200,4,1,34.4749
mpi,200,5,0,34.9373
mpi,200,5,1,34.4793
mpi,200,6,0,35.0833
mpi,200,6,1,34.5824
mpi,200,7,0,35.0207
mpi,200,7,1,34.5565
mpi,200,8,0,35.0328
mpi,200,8,1,34.6387
mpi,200,9,0,34.9511
mpi,200,9,1,34.3909
mpi,200,10,0,35.0788
mpi,200,10,1,34.7625
mpi,500,1,0,93.4643
mpi,500,1,1,94.0128
mpi,500,2,0,91.3095
mpi,500,2,1,91.5541
mpi,500,3,0,91.2994
mpi,500,3,1,91.5797
mpi,500,4,0,91.2702
mpi,500,4,1,91.5954
mpi,500,5,0,91.3665
mpi,500,5,1,91.5476
mpi,500,6,0,91.3646
mpi,500,6,1,91.7189
mpi,500,7,0,90.4873
mpi,500,7,1,91.0014
mpi,500,8,0,89.9477
mpi,500,8,1,90.4418
mpi,500,9,0,89.7318
mpi,500,9,1,90.2541
mpi,500,10,0,89.6352
mpi,500,10,1,90.1788
