mode,size_mb,rank,avg_time_s
mpi+omp,1,0,0.031320
mpi+omp,1,1,0.031385
mpi+omp,1,2,0.030999
mpi+omp,1,3,0.031108
mpi+omp,1,4,0.031234
mpi+omp,1,5,0.030532
mpi+omp,1,6,0.031317
mpi+omp,1,7,0.031126
mpi+omp,50,0,2.637687
mpi+omp,50,1,2.621570
mpi+omp,50,2,2.545276
mpi+omp,50,3,2.668882
mpi+omp,50,4,2.570291
mpi+omp,50,5,2.586960
mpi+omp,50,6,2.580612
mpi+omp,50,7,2.543841
mpi+omp,100,0,5.510707
mpi+omp,100,1,5.499988
mpi+omp,100,2,5.515319
mpi+omp,100,3,5.418560
mpi+omp,100,4,5.257487
mpi+omp,100,5,5.314180
mpi+omp,100,6,5.272699
mpi+omp,100,7,5.421695
mpi+omp,200,0,11.466040
mpi+omp,200,1,11.520040
mpi+omp,200,2,11.390310
mpi+omp,200,3,11.416470
mpi+omp,200,4,11.441530
mpi+omp,200,5,11.327290
mpi+omp,200,6,11.253250
mpi+omp,200,7,11.512560
mpi+omp,500,0,29.883620
mpi+omp,500,1,28.903360
mpi+omp,500,2,29.167880
mpi+omp,500,3,29.692470
mpi+omp,500,4,29.792020
mpi+omp,500,5,28.423450
mpi+omp,500,6,29.143910
mpi+omp,500,7,29.780320
